target,relevance,outcome,metallibs,perf,tracker_id,note
//max/kernels/test/gpu/compile:test_readfirstlane.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/compile:test_register_intrinsics.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/compile:test_simd.mojo.test,foreign,NO_STATUS,,,KERN-1377,
//max/kernels/test/gpu/compile:test_sleep_intrinsics.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/compile:test_time.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/compile:test_wmma_nvptx.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/compute_sanitizer:positive_control_memcheck_oob.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/compute_sanitizer:positive_control_poison_uninit.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/device_context:test_device_context.mojo.test,generic,PASS,3,,,
//max/kernels/test/gpu/device_context:test_device_context_cpu.mojo.test,generic,PASS,1,,,
//max/kernels/test/gpu/device_context:test_device_context_sub_buffer.mojo.test,excluded,EXCLUDED,,,GEX-2562,FIXME: GEX-2562
//max/kernels/test/gpu/device_context:test_device_event.mojo.test,excluded,EXCLUDED,,,GEX-2555,FIXME: GEX-2555
//max/kernels/test/gpu/device_context:test_device_external_function.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/device_context:test_device_graph_builder.mojo.test,excluded,EXCLUDED,,,,Metal does not support device graph builder
//max/kernels/test/gpu/device_context:test_device_stream.mojo.test,excluded,EXCLUDED,,,GEX-2554,FIXME: GEX-2554
//max/kernels/test/gpu/device_context:test_dump_sass.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/device_context:test_enqueue_fill.mojo.test,generic,PASS,1,,,
//max/kernels/test/gpu/device_context:test_external_shared_mem.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/device_context:test_external_stream.mojo.test,excluded,EXCLUDED,,,,Metal does not support external streams
//max/kernels/test/gpu/device_context:test_function_attributes.mojo.test,excluded,EXCLUDED,,,,
//max/kernels/test/gpu/device_context:test_function_error.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/device_context:test_function_error_sync_mode.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/device_context:test_occupancy_max_active_blocks.mojo.test,excluded,EXCLUDED,,,,occupancy query not implemented for Metal
//max/kernels/test/gpu/examples:test_double_buffer_gemm.mojo.test,excluded,EXCLUDED,,,MOCO-2415,FIXME: MOCO-2415
//max/kernels/test/gpu/examples:test_mandelbrot.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/examples:test_matmul_1_sram.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/examples:test_matmul_int.mojo.test,excluded,EXCLUDED,,,MOCO-2397,FIXME: MOCO-2397
//max/kernels/test/gpu/examples:test_matmul_kernel_10.mojo.test,excluded,EXCLUDED,,,,
//max/kernels/test/gpu/examples:test_matmul_sram_dims.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/examples:test_scatterND.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/examples:test_stencil1d.mojo.test,generic,PASS,0,,,
//max/kernels/test/gpu/examples:test_stencil2d.mojo.test,generic,PASS,0,,,
//max/kernels/test/gpu/examples:test_stencil_gpu.mojo.test,generic,PASS,5,,,
//max/kernels/test/gpu/examples:test_tiled_matmul_backtoback.mojo.test,foreign,NO_STATUS,,,KERN-1377,
//max/kernels/test/gpu/fuzz:fuzz.pydeps_test,generic,PASS,,,,
//max/kernels/test/gpu/fuzz:fuzz_attn_res_mix.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_block_scaled_fp4.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_block_scaled_mxfp8.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_build_test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_ep_combine.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_fused_qk_rms_norm.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_fused_qk_rope.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_fused_qkv_index_matmul_mxfp8.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_fused_qkv_matmul_mxfp8.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_fused_rope_rmsnorm.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_fused_swiglu_dispatch.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_fused_swiglu_mxfp8.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_gemv_split_k.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_grouped_matmul_mxfp8.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_grouped_matmul_sm100_w4a8.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_layer_norm.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_matmul.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_mha_causal.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_mha_nullmask.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_mla_decode.mojo.test,generic,NO_STATUS,,,,
